Name,Count,Source,Type,EN ISO 19115,Data theme,Countries
Imágenes Orto-rectificadas,6509,,Keyword,Planning / Cadastre,,
Verteilung der Bevölkerung — Demografie,6491,,Keyword,Society,SOCI,
climatologyMeteorologyAtmosphere,6453,CKAN,Theme,Environment,ENVI,
covid-19,6190,,Keyword,Health,HEAL,
Transparenzgesetz,5909,CKAN,Theme,,GOVE,
economy,5657,Geonetwork,Theme,Economy,ECON,
Budget,5646,,Keyword,Economy,"ECON,GOVE",
Energie,5628,CKAN,Theme,,ENER,
Informação Contábil,5616,CKAN,Theme,,GOVE,
Coastal and Marine,5517,DCAT,Theme,"Oceans,Inland Waters",ENVI,
gulf of mexico,5479,,Keyword,Oceans,,
Sector público,5438,CKAN,Theme,,GOVE,
coastal maps,5250,,Keyword,Imagery / Base Maps / Earth Cover,,
Open Access,5234,CKAN,Theme,,TECH,
Budget Commission,5213,,Keyword,Economy,"ECON,GOVE",
AquaMaps Native 2050,5175,,Keyword,"Imagery / Base Maps / Earth Cover,Oceans,Inland Waters",,
AquaMaps Native,4955,,Keyword,"Imagery / Base Maps / Earth Cover,Oceans,Inland Waters",,
Economia e finanze,4838,CKAN,Theme,Economy,ECON,
Government information,4778,,Keyword,,GOVE,
"Justiz, Rechtssystem und öffentliche Sicherheit",4250,CKAN,Theme,,JUST,
Legislación y justicia,4223,CKAN,Theme,,JUST,
Built Environment,4175,DCAT,Theme,Structure,,
Census,4169,,Keyword,Society,SOCI,
regionale,4157,,Keyword,,REGI,
Local and regional government,3999,CKAN,Theme,,REGI,
Gesetze & Justiz,3655,CKAN,Theme,,JUST,
health,3643,Geonetwork,Theme,Health,HEAL,
Culture and Heritage,3569,DCAT,Theme,,EDUC,
Nationalparks Austria,3568,,Keyword,,,Austria
demographics,3563,,Keyword,Society,SOCI,
Environmental monitoring facilities,3557,,Keyword,Environment,ENVI,
Regionale,3554,,Keyword,,REGI,
Bildung & Wissenschaft ,3546,CKAN,Theme,,EDUC,
生活,3536,CKAN,Theme,Health,HEAL,
Gulf of Mexico,3459,,Keyword,Oceans,,
"Geographie, Geologie &Geodaten",3447,CKAN,Theme,Environment,ENVI,
pre-approval-maps,3408,,Keyword,Imagery / Base Maps / Earth Cover,,
Health,3302,CKAN,Theme,Health,HEAL,
Germany,3273,,Keyword,,,Germany
orthoimagery,3209,,Keyword,Imagery / Base Maps / Earth Cover,,
Health,3200,,Keyword,Health,HEAL,
Environmental Monitoring,3019,,Keyword,Environment,ENVI,
environmental,2921,,Keyword,Environment,ENVI,
"Istruzione, cultura e sport",2859,CKAN,Theme,,EDUC,
regional,2815,,Keyword,,REGI,
budget,2791,,Keyword,Economy,"ECON,GOVE",
Scienza e tecnologia,2760,CKAN,Theme,,TECH,
imagen satelital,2748,,Keyword,Imagery / Base Maps / Earth Cover,,
Land and Resource Management,2723,CKAN,Theme,Planning / Cadastre,,
GEOSCIENTIFICINFORMATION,2718,,Keyword,Geoscientific Information,,
imagery,2717,,Keyword,Imagery / Base Maps / Earth Cover,,
Government,2604,,Keyword,,GOVE,
Trasporti,2508,CKAN,Theme,Transportation,TRAN,
South Africa,2492,CKAN,Theme,,,South Africa
united-states-of-america,2476,,Keyword,,,United States
United States Coast Guard,2427,,Keyword,,,United States
image-collections,2379,,Keyword,Imagery / Base Maps / Earth Cover,,
